iter	RMSE
0	0.7273264435
1	0.7259805316
2	0.7246830984
3	0.7236086238
4	0.7224123777
5	0.7213055472
6	0.7206587742
7	0.7195715225
8	0.7189145666
9	0.7183355787
10	0.717262727
11	0.7163881193
12	0.7153936563
13	0.714490563
14	0.7135724825
15	0.7128743002
16	0.7120563714
17	0.7114261126
18	0.7106707816
19	0.7100015056
20	0.7092905286
21	0.70886812
22	0.7083478826
23	0.7076988359
24	0.7070593269
25	0.7064535288
26	0.7059192681
27	0.705493926
28	0.7049921315
29	0.7045722164
30	0.7041631895
31	0.7036633274
32	0.7032565357
33	0.7030235796
34	0.7028183776
35	0.7024568937
36	0.702014313
37	0.7016700279
38	0.7012943736
39	0.7009041532
40	0.7005531676
41	0.7001829595
42	0.6998560761
43	0.6995979881
44	0.6992617528
45	0.6989457542
46	0.6987395306
47	0.6985191869
48	0.6983069736
49	0.6980640312
50	0.697948587
51	0.6976758132
52	0.6974211138
53	0.6971639124
54	0.6970642206
55	0.6968379425
56	0.6967083907
57	0.6965440848
58	0.6964547174
59	0.6962493399
60	0.6961682554
61	0.6959600335
62	0.6958261967
63	0.6956932458
64	0.6955278999
65	0.6954597752
66	0.6952735886
67	0.6951180486
68	0.6949532845
69	0.6947880734
70	0.6946397057
71	0.6944821242
72	0.6943891895
73	0.694253043
74	0.6941252633
75	0.6940775574
76	0.6940109146
77	0.6938919943
78	0.6937779315
79	0.693704519
80	0.6935908275
81	0.6935372555
82	0.6935099878
83	0.693403822
84	0.6933011643
85	0.6932062237
86	0.6931938546
87	0.6931489521
88	0.693060938
89	0.6929594083
90	0.6929122279
91	0.6928762292
92	0.6927949614
93	0.6927029768
94	0.6926170118
95	0.6925369454
96	0.6924969915
97	0.692461468
98	0.6923864596
99	0.6923109206
100	0.6922978542
101	0.6922854869
102	0.6922136347
103	0.6921451286
104	0.6920824858
105	0.6920170389
106	0.691963818
107	0.6919031292
108	0.6918934236
109	0.6918380409
110	0.6917781634
111	0.691731488
112	0.6916868067
113	0.6916341001
114	0.6915831103
115	0.6915340429
116	0.6914862461
117	0.6914852775
118	0.6914390489
119	0.6913943193
120	0.6913774873
121	0.6913332077
122	0.6912980122
123	0.6912886131
124	0.6912491026
125	0.6912165133
126	0.6911792905
127	0.691143133
128	0.6911393602
129	0.6911318335
130	0.6910957035
131	0.6910694737
132	0.6910645736
133	0.6910319726
134	0.6910291823
135	0.6910187671
136	0.6909881971
137	0.690958021
138	0.6909291247
139	0.690901136
140	0.6908802129
141	0.690853925
142	0.6908346218
143	0.6908159076
144	0.690792065
145	0.6907683246
146	0.6907641456
147	0.6907413465
148	0.6907185181
149	0.6906964154
150	0.6906761774
151	0.6906707081
152	0.6906672389
153	0.6906640772
154	0.6906485075
155	0.690629606
156	0.6906110231
157	0.690597907
158	0.6905950749
159	0.6905774607
160	0.6905603801
161	0.6905557239
162	0.690543146
163	0.6905310497
164	0.6905289388
165	0.6905124066
166	0.6904965944
167	0.6904821547
168	0.6904805917
169	0.6904788982
170	0.6904683451
171	0.6904539022
172	0.6904516509
173	0.6904385715
174	0.6904250729
175	0.6904247804
176	0.6904162309
177	0.6904080797
178	0.6904067904
179	0.6904027054
180	0.6904014273
181	0.690389015
182	0.6903878101
183	0.6903765462
184	0.6903685277
185	0.6903570329
186	0.690345997
187	0.6903352015
188	0.6903286063
189	0.6903285092
190	0.6903273022
191	0.6903269015
192	0.6903168025
193	0.6903150781
194	0.6903085036
195	0.69029891
196	0.6902985303
197	0.6902897197
198	0.6902812236
199	0.6902758194
200	0.6902705851
201	0.6902621618
202	0.6902608274
203	0.6902606881
204	0.6902529191
205	0.6902454341
206	0.6902377847
207	0.6902346429
208	0.6902275682
209	0.6902228938
210	0.690215882
211	0.6902148956
212	0.690208444
213	0.6902080859
214	0.6902054961
215	0.6902014813
216	0.6901950969
217	0.6901910548
218	0.6901851922
219	0.6901792945
220	0.690175646
221	0.690169949
222	0.6901646385
223	0.6901645761
224	0.6901624491
225	0.6901573382
226	0.6901521478
227	0.6901472037
228	0.6901423325
229	0.6901377371
230	0.6901375386
231	0.6901330243
232	0.6901312483
233	0.6901292281
234	0.6901248301
235	0.6901206093
236	0.6901165648
237	0.6901126041
238	0.6901087625
239	0.6901049686
240	0.6901033898
241	0.6900997323
242	0.6900997084
243	0.690099464
244	0.6900959374
245	0.6900925628
246	0.6900911259
247	0.6900890377
248	0.6900876012
249	0.6900843909
250	0.6900812665
251	0.6900793653
252	0.6900775241
253	0.6900755963
254	0.6900738583
255	0.6900721744
256	0.6900721631
257	0.6900721524
258	0.6900693938
259	0.6900667186
260	0.6900654792
261	0.6900629014
262	0.6900616977
263	0.69006066
264	0.6900580798
265	0.6900579864
266	0.690055405
267	0.6900554006
268	0.6900552876
269	0.6900537141
270	0.6900514258
271	0.6900490865
272	0.690049071
273	0.6900467527
274	0.6900457585
275	0.6900436781
276	0.6900435353
277	0.6900415563
278	0.6900414194
279	0.6900412882
280	0.6900411669
281	0.6900390581
282	0.6900371451
283	0.6900358382
284	0.6900338859
285	0.6900338183
286	0.6900320918
287	0.6900311164
288	0.6900303347
289	0.6900302317
290	0.6900292815
291	0.690027651
292	0.6900258805
293	0.6900240918
294	0.6900223483
295	0.6900207037
296	0.6900206284
297	0.6900197256
298	0.6900182772
299	0.6900168935
300	0.6900155509
301	0.6900140252
302	0.6900127349
303	0.6900112744
304	0.6900106792
305	0.6900099344
306	0.6900085328
307	0.6900084959
308	0.6900079053
309	0.6900067616
310	0.6900062287
311	0.6900051744
312	0.6900041129
313	0.6900028481
314	0.6900022309
315	0.690001731
316	0.6900005571
317	0.6899996205
318	0.6899995891
319	0.6899984451
320	0.6899975599
321	0.6899975319
322	0.6899966539
323	0.6899955983
324	0.6899947668
325	0.6899939773
326	0.6899929836
327	0.689992949
328	0.6899921888
329	0.6899912082
330	0.689990834
331	0.689989893
332	0.6899895335
333	0.6899886187
334	0.6899879625
335	0.6899873839
336	0.689987052
337	0.6899870354
338	0.6899870205
339	0.6899864089
340	0.6899863935
341	0.6899855454
342	0.6899855423
343	0.6899849414
344	0.6899843793
345	0.6899840815
346	0.6899832949
347	0.6899832822
348	0.6899827566
349	0.6899827262
350	0.6899827146
351	0.6899826927
352	0.6899821809
353	0.6899816648
354	0.6899811639
355	0.689980687
356	0.6899802238
357	0.6899802227
358	0.6899795163
359	0.689979068
360	0.6899783867
361	0.6899779705
362	0.6899775573
363	0.6899775423
364	0.6899771556
365	0.689976507
366	0.6899764602
367	0.6899762001
368	0.6899761505
369	0.6899755295
370	0.6899751625
371	0.6899748061
372	0.6899744662
373	0.689974455
374	0.6899738652
375	0.6899735429
376	0.6899735328
377	0.6899733105
378	0.6899730031
379	0.6899728259
380	0.6899725261
381	0.6899725218
382	0.6899722397
383	0.6899717022
384	0.6899714307
385	0.6899711619
386	0.6899711581
387	0.689970896
388	0.6899706424
389	0.6899706391
390	0.6899703929
391	0.6899702188
392	0.6899699882
393	0.6899699809
394	0.6899697569
395	0.6899693332
396	0.6899691145
397	0.6899691112
398	0.6899689572
399	0.6899685428
400	0.6899683404
401	0.6899678785
402	0.6899678751
403	0.6899678746
404	0.6899674242
405	0.6899672333
406	0.6899670478
407	0.6899669196
408	0.6899669135
409	0.6899669076
410	0.689966902
411	0.6899668967
412	0.6899668916
413	0.6899668867
414	0.6899667591
415	0.689966635
416	0.6899664655
417	0.6899663026
418	0.6899661467
419	0.6899660682
420	0.6899659126
421	0.6899657637
422	0.689965615
423	0.6899656108
424	0.6899652053
425	0.6899648443
426	0.6899647065
427	0.6899646232
428	0.6899645467
429	0.6899641578
430	0.6899640625
431	0.6899639699
432	0.6899638445
433	0.689963841
434	0.6899638375
435	0.6899637157
436	0.6899633766
437	0.6899632926
438	0.6899632891
439	0.6899632073
440	0.6899628428
441	0.6899627647
442	0.6899626557
443	0.6899626524
444	0.6899625672
445	0.6899624608
446	0.6899621408
447	0.6899617949
448	0.6899617922
449	0.6899614523
450	0.689961383
451	0.6899613157
452	0.6899609841
453	0.6899606583
454	0.6899605816
455	0.689960507
456	0.6899602153
457	0.6899601243
458	0.6899598131
459	0.6899597267
460	0.6899596542
461	0.6899596522
462	0.6899596504
463	0.6899596487
464	0.689959647
465	0.6899595769
466	0.6899595086
467	0.6899592069
468	0.6899592057
469	0.689958909
470	0.6899586174
471	0.6899585369
472	0.6899584585
473	0.6899584576
474	0.6899581937
475	0.6899581924
476	0.6899581197
477	0.6899580487
478	0.6899580478
479	0.6899579903
480	0.6899579344
481	0.6899578704
482	0.6899578151
483	0.6899577614
484	0.6899577092
485	0.6899577081
486	0.689957707
487	0.6899576358
488	0.6899575667
489	0.6899574932
490	0.6899572443
491	0.689957177
492	0.689956933
493	0.6899566743
494	0.689956438
495	0.6899563747
496	0.6899563117
497	0.6899562504
498	0.6899562495
499	0.6899560192
